name	membership
PD_9	1
PD_8	2
PD_7	3
PD_6	4
PD_5	5
PD_4	1
PD_3	5
PD_2	6
PD_18	7
PD_17	5
PD_16	8
PD_15	2
PD_14	9
PD_13	7
PD_12	6
PD_11	10
PD_10	5
PD_1	11
PD_0	12
PD	12
PB_9	13
PB_8	6
PB_7	2
PB_6	6
PB_5	14
PB_4	15
PB_3	3
PB_2	6
PB_18	6
PB_17	15
PB_16	14
PB_15	12
PB_14	2
PB_13	5
PB_12	2
PB_11	16
PB_10	7
PB_1	2
PB_0	5
PB	5
PA_9	6
PA_8	4
PA_7	15
PA_6	15
PA_5	15
PA_4	11
PA_3	4
PA_2	15
PA_18	6
PA_17	14
PA_16	15
PA_15	11
PA_14	8
PA_13	7
PA_12	3
PA_11	15
PA_10	2
PA_1	8
PA_0	15
PA	9
M1HL_9	5
M1HL_8	6
M1HL_7	14
M1HL_6	17
M1HL_5	14
M1HL_4	14
M1HL_3	2
M1HL_2	9
M1HL_18	3
M1HL_17	6
M1HL_16	11
M1HL_15	5
M1HL_14	1
M1HL_13	18
M1HL_12	9
M1HL_11	5
M1HL_10	15
M1HL_1	11
M1HL_0	3
M1HL	6
M1E_9	19
M1E_8	5
M1E_7	7
M1E_6	4
M1E_5	12
M1E_4	5
M1E_3	5
M1E_2	20
M1E_18	19
M1E_17	5
M1E_16	5
M1E_15	5
M1E_14	1
M1E_13	12
M1E_12	14
M1E_11	1
M1E_10	21
M1E_1	14
M1E_0	9
M1E	5
M1DU_9	3
M1DU_8	6
M1DU_7	7
M1DU_6	9
M1DU_5	11
M1DU_4	5
M1DU_3	1
M1DU_2	5
M1DU_18	14
M1DU_17	5
M1DU_16	9
M1DU_15	15
M1DU_14	5
M1DU_13	6
M1DU_12	15
M1DU_11	6
M1DU_10	14
M1DU_1	17
M1DU_0	1
M1DU	12
M10H_9	7
M10H_8	17
M10H_7	6
M10H_6	14
M10H_5	14
M10H_4	7
M10H_3	6
M10H_2	6
M10H_18	5
M10H_17	11
M10H_16	14
M10H_15	15
M10H_14	9
M10H_13	19
M10H_12	8
M10H_11	3
M10H_10	5
M10H_1	19
M10H_0	17
M10H	6
M10D_9	11
M10D_8	1
M10D_7	3
M10D_6	9
M10D_5	14
M10D_4	14
M10D_3	6
M10D_2	6
M10D_18	17
M10D_17	4
M10D_16	15
M10D_15	15
M10D_14	5
M10D_13	5
M10D_12	9
M10D_11	22
M10D_10	5
M10D_1	14
M10D_0	11
M10D	6
M10A_9	14
M10A_8	3
M10A_7	15
M10A_6	5
M10A_5	1
M10A_4	5
M10A_3	6
M10A_2	12
M10A_18	4
M10A_17	2
M10A_16	14
M10A_15	4
M10A_14	9
M10A_13	5
M10A_12	5
M10A_11	5
M10A_10	14
M10A_1	8
M10A_0	7
M10A	1
M100E_9	7
M100E_8	7
M100E_7	4
M100E_6	8
M100E_5	2
M100E_4	7
M100E_3	6
M100E_2	11
M100E_18	2
M100E_17	8
M100E_16	2
M100E_15	15
M100E_14	15
M100E_13	15
M100E_12	7
M100E_11	17
M100E_10	5
M100E_1	7
M100E_0	6
M100E	7
M100D_9	3
M100D_8	1
M100D_7	11
M100D_6	5
M100D_5	8
M100D_4	7
M100D_3	5
M100D_2	6
M100D_18	5
M100D_17	2
M100D_16	5
M100D_15	5
M100D_14	7
M100D_13	12
M100D_12	6
M100D_11	7
M100D_10	6
M100D_1	11
M100D_0	5
M100D	12
M100A_9	6
M100A_8	11
M100A_7	6
M100A_6	1
M100A_5	3
M100A_4	4
M100A_3	5
M100A_2	6
M100A_18	5
M100A_17	14
M100A_16	7
M100A_15	9
M100A_14	14
M100A_13	5
M100A_12	4
M100A_11	15
M100A_10	14
M100A_1	5
M100A_0	5
M100A	3
